id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Emilia;Konopelski;Dayton.Hilll-Weber@yahoo.com;bah joyful;2024-04-22T13:16:06;8241;28990
2;Wiley;Casper;Matt70@yahoo.com;through now;2024-04-22T20:09:55;11433;13050
3;Leone;Price;Stephany45@gmail.com;acidly unless;2024-04-22T14:57:02;26643;10694
4;Shania;Zieme;Elva.Ryan87@yahoo.com;but who likewise;2024-04-22T19:58:11;8779;9546
5;Diego;Walter;Eleazar_Kling73@hotmail.com;absent bumpy;2024-04-22T18:50:16;31601;2732
6;Alek;Goldner-Streich;Delmer.Baumbach4@gmail.com;rusty;2024-04-22T18:19:05;10547;26896
7;Joan;Becker;Carole77@gmail.com;among gah whole;2024-04-22T18:21:40;15421;11814
8;Kasey;Gibson;Reece_Lehner@gmail.com;agitate gosh over;2024-04-23T07:40:19;20669;30172
9;Glenda;Schneider;Kenneth.Flatley@hotmail.com;guilty;2024-04-22T21:31:46;21018;16197
10;Titus;DuBuque;Jamaal.Hegmann@gmail.com;absent;2024-04-22T17:48:42;22456;25054
